name,comm_cost,complexity,type
explored-435,0.8432301279589738,38,explored
explored-436,0.8932075214606895,17,explored
explored-437,0.685511952884892,51,explored
explored-438,0.8771679676094446,16,explored
explored-439,0.5333365849529496,64,explored
explored-440,0.5033761790131868,60,explored
explored-441,0.7302274000393636,24,explored
explored-442,0.8430881061603912,36,explored
explored-443,0.9196661346102687,22,explored
explored-444,0.6893313770527969,65,explored
explored-445,0.9652051539719307,13,explored
explored-446,0.8201673391268363,39,explored
explored-447,0.8726767478917806,26,explored
explored-448,0.8999128663735917,25,explored
explored-449,0.9005314075487123,14,explored
explored-450,0.8146886496797929,28,explored
explored-451,0.9035025964784787,16,explored
explored-452,0.9755785302266431,19,explored
explored-453,0.8308585710085269,34,explored
explored-454,0.5254803106690284,60,explored
explored-455,0.9192669300994686,10,explored
explored-456,0.8029533996457283,26,explored
explored-457,0.9483117713226124,78,explored
explored-458,0.6738997138574738,65,explored
explored-459,0.45698210473724843,67,explored
explored-460,0.6397669982286415,30,explored
explored-461,0.9746375390366397,20,explored
explored-462,0.9414994663214789,24,explored
explored-463,0.870093413358868,43,explored
explored-464,0.7978852278920834,19,explored
explored-465,0.9114187455938199,16,explored
explored-466,0.6190149857463083,40,explored
explored-467,0.8290890053857904,22,explored
explored-468,0.4805434437025935,36,explored
explored-469,0.7847476710580101,22,explored
explored-470,0.8559142300468354,31,explored
explored-471,0.5464300313394196,54,explored
explored-472,0.8752997683608121,15,explored
explored-473,0.9327524987376066,24,explored
explored-474,0.9779456641458872,11,explored
explored-475,0.9815369941408911,8,explored
explored-476,0.8881916903923524,50,explored
explored-477,0.9087559775238614,25,explored
explored-478,0.8973653881091883,24,explored
explored-479,0.6494754053685788,32,explored
explored-480,0.6102207006706939,40,explored
explored-481,0.5758533178907208,74,explored
explored-482,0.911398010628151,14,explored
explored-483,0.8066834718626515,24,explored
explored-484,0.8337080437843485,14,explored
explored-485,0.8571416405504837,16,explored
explored-486,0.9800040877503747,14,explored
explored-487,0.6197985268958834,51,explored
explored-488,0.483751192260526,68,explored
explored-489,0.5922752872780124,62,explored
explored-490,0.7673997041247348,29,explored
explored-491,0.8350592723804333,16,explored
explored-492,0.7459395854045443,50,explored
explored-493,0.7563608379264863,40,explored
explored-494,0.45226983694417944,62,explored
explored-495,0.5390088178615227,31,explored
explored-496,0.6457283008584276,32,explored
explored-497,0.9035574783122133,16,explored
explored-498,0.9484035063814326,13,explored
explored-499,0.6544722404790594,84,explored
explored-500,0.9447880342746008,60,explored
explored-501,0.8017013196414341,58,explored
explored-502,0.9686126771358495,12,explored
explored-503,0.8671452741063723,29,explored
explored-504,0.8415107265597797,28,explored
explored-505,0.6094642776036698,40,explored
explored-506,0.9009146341463414,13,explored
explored-507,0.9497055305748588,18,explored
explored-508,0.4889715901348958,47,explored
explored-509,0.8355134668665123,26,explored
explored-510,0.629683880637689,30,explored
explored-511,0.7909796975064722,32,explored
explored-512,0.7764530979308197,64,explored
explored-513,0.9183035410137621,13,explored
explored-514,0.5743629922332742,60,explored
explored-515,0.9755377816237546,11,explored
explored-516,0.8461189081164555,16,explored
explored-517,0.6628358726169509,64,explored
explored-518,0.6153426897397465,35,explored
explored-519,0.6925671072353181,26,explored
explored-520,0.8691579234228096,16,explored
explored-521,0.8737926537286123,16,explored
explored-522,0.5226226703607818,92,explored
explored-523,0.80532278088144,19,explored
explored-524,0.7945905436707998,18,explored
explored-525,0.663273606758414,60,explored
explored-526,0.5206928169142027,42,explored
explored-527,0.9639641621625713,22,explored
explored-528,0.6525752827360676,39,explored
explored-529,0.8723974655947677,18,explored
explored-530,0.601410273879275,40,explored
explored-531,0.8714345732842803,17,explored
explored-532,0.8787596546209507,14,explored
explored-533,0.7643555338817134,32,explored
explored-534,0.8532558124941731,24,explored
explored-535,0.7096544715447155,39,explored
explored-536,0.7326313865692528,40,explored
explored-537,0.958770980026771,66,explored
explored-538,0.7853562999124502,41,explored
explored-539,0.9733975189327385,12,explored
explored-540,0.8107286415042921,18,explored
explored-541,0.8392334943976857,22,explored
explored-542,0.8521817610634207,36,explored
explored-543,0.9477809927622772,20,explored
explored-544,0.8693868574817855,14,explored
explored-545,0.8624557160376073,17,explored
explored-546,0.9774705341327157,11,explored
explored-547,0.7625698324022346,19,explored
explored-548,0.6616071293394499,70,explored
explored-549,0.9853522278239543,8,explored
explored-550,0.4745537539174274,52,explored
explored-551,0.9793323731019602,20,explored
explored-552,0.7407459543294086,38,explored
explored-553,0.8737566425943589,16,explored
explored-554,0.8660580460553209,40,explored
explored-555,0.9102368948669535,16,explored
explored-556,0.6465572057955217,40,explored
explored-557,0.950689270013841,12,explored
explored-558,0.7317608471376015,30,explored
explored-559,0.6862821910342009,31,explored
explored-560,0.4256994595085615,62,explored
explored-561,0.8938675228232729,16,explored
explored-562,0.7081062360902939,66,explored
explored-563,0.8142765054597388,67,explored
explored-564,0.7845414906663033,23,explored
explored-565,0.9260023203994774,33,explored
explored-566,0.6841082080513543,101,explored
explored-567,0.5874551482944997,51,explored
explored-568,0.6815105048954849,68,explored
explored-569,0.9127265294999318,13,explored
explored-570,0.7056819730208475,16,explored
explored-571,0.9718846933786459,11,explored
explored-572,0.9083286121011753,16,explored
explored-573,0.9618370553376219,24,explored
explored-574,0.7477517372939093,23,explored
explored-575,0.8758886849466588,16,explored
explored-576,0.8776978120212893,12,explored
explored-577,0.8576100286142526,16,explored
explored-578,0.9804047137165168,13,explored
explored-579,0.7397200647984133,27,explored
explored-580,0.8167168372286486,28,explored
explored-581,0.5674921393386102,92,explored
explored-582,0.5466757296395368,85,explored
explored-583,0.8761865830948813,14,explored
explored-584,0.8911257967328277,26,explored
explored-585,0.7388949448153699,23,explored
explored-586,0.9021616413291028,20,explored
explored-587,0.8996040938063012,14,explored
explored-588,0.7747800941696568,40,explored
explored-589,0.8664047748817472,26,explored
explored-590,0.8027456056683472,21,explored
explored-591,0.97848747667886,11,explored
explored-592,0.6845027421992097,94,explored
explored-593,0.6663480208475269,32,explored
explored-594,0.7432760291290064,48,explored
explored-595,0.8838665478167659,24,explored
explored-596,0.8748043866929274,14,explored
explored-597,0.5510345949253117,80,explored
explored-598,0.5951878094199936,46,explored
explored-599,0.9996252895489849,10,explored
explored-600,0.6943238239350932,60,explored
explored-601,0.9727158146391012,14,explored
explored-602,0.8918466463930764,54,explored
explored-603,0.9315301812235999,10,explored
explored-604,0.6306121406186129,56,explored
explored-605,0.8614560826374424,22,explored
explored-606,0.9848693122159614,18,explored
explored-607,0.6535017362616491,32,explored
explored-608,0.8612744368585997,29,explored
explored-609,0.5495856016022251,64,explored
explored-610,0.5983359449516283,50,explored
explored-611,0.713520274917434,50,explored
explored-612,0.425086296952355,60,explored
explored-613,0.6755285688331742,92,explored
explored-614,0.7132537735991885,38,explored
explored-615,0.9004036653495027,11,explored
explored-616,0.8547088613344234,23,explored
explored-617,0.9394300685007866,16,explored
explored-618,0.6820960318541733,28,explored
explored-619,0.7183109115358911,40,explored
explored-620,0.6329115002043875,38,explored
explored-621,0.6142185583867013,88,explored
explored-622,0.7597632889736718,32,explored
explored-623,0.9704626917079227,11,explored
explored-624,0.9262328014231188,24,explored
explored-625,0.6644519278393103,78,explored
explored-626,0.8182654312576645,16,explored
explored-627,0.9268326884846148,87,explored
explored-628,0.9668691896654238,13,explored
explored-629,0.7870764636417313,53,explored
explored-630,0.9429716187589247,63,explored
explored-631,0.7165731783016154,40,explored
explored-632,0.49959122496252895,50,explored
explored-633,0.502554843984194,52,explored
explored-634,0.81166541763183,20,explored
explored-635,0.9283583221406835,35,explored
explored-636,0.9616432756506336,16,explored
explored-637,0.7906163419176091,21,explored
explored-638,0.9469127751931948,19,explored
explored-639,0.691744178541462,30,explored
explored-640,0.7065411257840103,57,explored
explored-641,0.5404886537891715,86,explored
explored-642,0.6289008682684591,47,explored
explored-643,0.7839879411363946,24,explored
explored-644,0.8395103783440069,26,explored
explored-645,0.6617842787067136,84,explored
explored-646,0.6969131227910159,52,explored
explored-647,0.9201222934952613,35,explored
explored-648,0.5453399645728301,32,explored
explored-649,0.9689245810055866,14,explored
explored-650,0.8042806939735516,34,explored
explored-651,0.9635642767305795,58,explored
explored-652,0.5646103011309442,52,explored
explored-653,0.9719989099332335,16,explored
explored-654,0.906570301736537,14,explored
explored-655,0.7727868705732736,41,explored
explored-656,0.6382000272516692,40,explored
explored-657,0.9737235512818018,20,explored
explored-658,0.9335493359298118,23,explored
explored-659,0.7528614252622973,21,explored
explored-660,0.9104820517478918,18,explored
explored-661,0.8765414225371304,18,explored
explored-662,0.8992685404253737,34,explored
explored-663,0.8917704217195803,18,explored
explored-664,0.6742044026585517,34,explored
explored-665,0.6192955176347689,40,explored
explored-666,0.8729334150883408,16,explored
explored-667,0.647813710936286,42,explored
explored-668,0.6162657732393952,36,explored
explored-669,0.6422792614797657,41,explored
explored-670,0.8647976563564519,18,explored
explored-671,0.8813650681692489,22,explored
explored-672,0.9079299113023054,15,explored
explored-673,0.8089882100673402,37,explored
explored-674,0.9543039056596762,19,explored
explored-675,0.7884816278330381,22,explored
explored-676,0.6143137645385908,67,explored
explored-677,0.9153371993299295,21,explored
explored-678,0.9657917035699687,13,explored
explored-679,0.9762195121951219,12,explored
explored-680,0.8851404080318102,24,explored
explored-681,0.6362765136031249,60,explored
explored-682,0.8502567022989567,49,explored
explored-683,0.691070157908283,56,explored
explored-684,0.5077540349836623,46,explored
explored-685,0.5831630104010537,48,explored
explored-686,0.7781590258766986,28,explored
explored-687,0.8827299359585775,31,explored
explored-688,0.945602474792206,23,explored
explored-689,0.6033746650315666,30,explored
explored-690,0.8154437579733045,57,explored
explored-691,0.5208768603049159,74,explored
explored-692,0.9050563201162738,25,explored
explored-693,0.8746844016254819,12,explored
explored-694,0.888302221011037,20,explored
explored-695,0.9026307435183658,28,explored
explored-696,0.965585055932715,26,explored
explored-697,0.9548277777089604,18,explored
explored-698,0.8776258118726439,25,explored
explored-699,0.7882744015987646,26,explored
explored-700,0.626365072662252,78,explored
explored-701,0.5302086645168127,84,explored
explored-702,0.8938720512504407,24,explored
explored-703,0.5817436526320571,66,explored
explored-704,0.9112091070123499,12,explored
explored-705,0.7676877428570086,29,explored
explored-706,0.8751068389302481,16,explored
explored-707,0.9662274148637668,23,explored
explored-708,0.8807058182313666,14,explored
explored-709,0.9352096425078905,67,explored
explored-710,0.8467774901212699,18,explored
explored-711,0.8947404278512059,16,explored
explored-712,0.6756797777474981,78,explored
explored-713,0.4610884357954803,78,explored
explored-714,0.9039323557464953,27,explored
explored-715,0.8104058021281076,34,explored
explored-716,0.7619311214061861,33,explored
explored-717,0.6544999318708271,30,explored
explored-718,0.7374093706270263,84,explored
explored-719,0.9642187712903665,23,explored
explored-720,0.4611573821743804,83,explored
explored-721,0.457613718944452,48,explored
explored-722,0.5877049552618431,37,explored
explored-723,0.7667900561687181,22,explored
explored-724,0.931478678813125,16,explored
explored-725,0.9752580503023343,18,explored
explored-726,0.919430088654438,36,explored
explored-727,0.5885012149702502,52,explored
explored-728,0.7162129635884875,78,explored
explored-729,0.897348142912295,29,explored
explored-730,0.8881338131930676,40,explored
explored-731,0.9554994841648337,20,explored
explored-732,0.8589123085478174,20,explored
explored-733,0.5853809934747392,40,explored
explored-734,0.7361697778988963,36,explored
explored-735,0.8267422840723555,34,explored
explored-736,0.6859926420493255,56,explored
